step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
6420,16,1.606402,1.507433e-04,0.4824,125438.4,0.617,138.0
6440,16,1.606416,1.500000e-04,0.5195,114700.8,0.617,138.4
6460,16,1.598638,1.492567e-04,0.5352,119789.9,0.617,138.8
6480,16,1.588474,1.485135e-04,0.5117,107561.7,0.617,139.2
6500,16,1.624770,1.477702e-04,0.5898,71250.1,0.617,139.6
6520,16,1.590423,1.470271e-04,0.4746,138243.1,0.617,140.0
6540,16,1.589058,1.462840e-04,0.4844,103685.6,0.617,140.3
6560,16,1.610819,1.455410e-04,0.4766,111073.1,0.617,140.7
6580,16,1.589475,1.447981e-04,0.4297,94732.0,0.617,141.1
6600,16,1.585421,1.440553e-04,0.5273,104944.4,0.617,141.4
6620,16,1.601862,1.433127e-04,0.5000,118266.6,0.617,141.8
6640,16,1.630707,1.425703e-04,0.5938,104850.3,0.617,142.2
6660,16,1.607756,1.418280e-04,0.6055,123526.7,0.617,142.5
6680,16,1.636920,1.410859e-04,0.5508,96708.5,0.617,142.9
6700,16,1.575409,1.403441e-04,0.4863,185771.5,0.617,143.3
6720,16,1.588292,1.396024e-04,0.5117,114194.8,0.617,143.6
6740,16,1.617670,1.388611e-04,0.5078,93717.4,0.617,144.0
6760,16,1.638211,1.381200e-04,0.6211,108791.6,0.617,144.3
6780,16,1.618171,1.373792e-04,0.4414,135119.1,0.617,144.7
6800,16,1.607049,1.366387e-04,0.5469,121000.0,0.617,145.1
6820,17,1.605757,1.358986e-04,0.5000,119205.2,0.617,146.6
6840,17,1.584839,1.351587e-04,0.4727,151366.5,0.617,147.0
6860,17,1.592842,1.344193e-04,0.5078,134393.5,0.617,147.4
6880,17,1.592718,1.336802e-04,0.4395,142975.5,0.617,147.7
6900,17,1.594751,1.329416e-04,0.5703,103936.0,0.617,148.1
6920,17,1.591407,1.322033e-04,0.5078,120186.9,0.617,148.5
6940,17,1.588769,1.314655e-04,0.5078,142110.2,0.617,148.8
6960,17,1.617341,1.307282e-04,0.5625,107074.6,0.617,149.2
6980,17,1.603437,1.299913e-04,0.4727,80568.1,0.617,149.5
7000,17,1.612412,1.292549e-04,0.6250,101345.3,0.617,149.9
7020,17,1.593997,1.285190e-04,0.4824,131704.9,0.617,150.3
7040,17,1.598569,1.277837e-04,0.5273,152078.6,0.617,150.7
7060,17,1.582372,1.270489e-04,0.3984,154102.6,0.617,151.0
7080,17,1.593658,1.263146e-04,0.4375,100129.4,0.617,151.4
7100,17,1.610675,1.255810e-04,0.4941,117564.2,0.617,151.8
7120,17,1.632443,1.248479e-04,0.6133,90209.8,0.617,152.2
7140,17,1.598867,1.241155e-04,0.5430,101808.3,0.617,152.6
7160,17,1.626680,1.233836e-04,0.5039,87067.7,0.617,152.9
7180,17,1.594679,1.226525e-04,0.5273,116807.4,0.617,153.3
7200,17,1.618656,1.219220e-04,0.5469,80229.6,0.617,153.7
7220,17,1.606765,1.211922e-04,0.5078,88854.7,0.617,154.0
7240,17,1.605528,1.204631e-04,0.4922,88795.8,0.617,154.4
7260,18,1.622658,1.197348e-04,0.4844,102785.9,0.617,156.0
7280,18,1.627179,1.190071e-04,0.5117,93084.0,0.617,156.4
7300,18,1.624891,1.182803e-04,0.4961,83697.0,0.617,156.8
7320,18,1.577868,1.175542e-04,0.5898,111022.6,0.617,157.1
7340,18,1.595326,1.168289e-04,0.4336,169103.8,0.617,157.5
7360,18,1.589590,1.161045e-04,0.5039,110424.1,0.617,157.9
7380,18,1.605154,1.153808e-04,0.4199,121142.4,0.617,158.2
7400,18,1.577324,1.146580e-04,0.5078,147309.1,0.617,158.6
7420,18,1.577386,1.139361e-04,0.4609,172061.6,0.617,159.0
7440,18,1.604531,1.132151e-04,0.5664,127391.7,0.617,159.4
7460,18,1.586110,1.124950e-04,0.5508,132515.0,0.617,159.7
7480,18,1.604148,1.117758e-04,0.3770,111999.8,0.617,160.1
7500,18,1.602489,1.110575e-04,0.5547,121688.3,0.617,160.5
7520,18,1.607518,1.103402e-04,0.4434,119538.5,0.617,160.8
7540,18,1.620424,1.096238e-04,0.5234,66755.2,0.617,161.2
7560,18,1.613787,1.089085e-04,0.8047,106033.2,0.617,161.6
7580,18,1.605910,1.081942e-04,0.5547,100949.5,0.617,162.0
7600,18,1.601110,1.074809e-04,0.4531,134190.6,0.617,162.3
7620,18,1.627535,1.067686e-04,0.4785,111238.7,0.617,162.7
7640,18,1.589841,1.060574e-04,0.4473,157369.2,0.617,163.1
7660,18,1.596073,1.053472e-04,0.4727,129092.0,0.617,163.4
7680,19,1.602901,1.046382e-04,0.4590,124255.3,0.617,165.0
